"sno","time","map","ey.ew"
1,"2014W01",1500,2014.01
2,"2014W02",1501,2014.02
3,"2014W03",1502,2014.03
4,"2014W04",1503,2014.04
5,"2014W05",1504,2014.05
6,"2014W06",1505,2014.06
7,"2014W07",1506,2014.07
8,"2014W08",1507,2014.08
9,"2014W09",1508,2014.09
10,"2014W10",1509,2014.1
11,"2014W11",1510,2014.11
12,"2014W12",1511,2014.12
13,"2014W13",1512,2014.13
14,"2014W14",1513,2014.14
15,"2014W15",1514,2014.15
16,"2014W16",1515,2014.16
17,"2014W17",1516,2014.17
18,"2014W18",1517,2014.18
19,"2014W19",1518,2014.19
20,"2014W20",1519,2014.2
21,"2014W21",1520,2014.21
22,"2014W22",1521,2014.22
23,"2014W23",1522,2014.23
24,"2014W24",1523,2014.24
25,"2014W25",1524,2014.25
26,"2014W26",1525,2014.26
27,"2014W27",1526,2014.27
28,"2014W28",1527,2014.28
29,"2014W29",1528,2014.29
30,"2014W30",1529,2014.3
31,"2014W31",1530,2014.31
32,"2014W32",1531,2014.32
33,"2014W33",1532,2014.33
34,"2014W34",1533,2014.34
35,"2014W35",1534,2014.35
36,"2014W36",1535,2014.36
37,"2014W37",1536,2014.37
38,"2014W38",1537,2014.38
39,"2014W39",1538,2014.39
40,"2014W40",1539,2014.4
41,"2014W41",1540,2014.41
42,"2014W42",1541,2014.42
43,"2014W43",1542,2014.43
44,"2014W44",1543,2014.44
45,"2014W45",1544,2014.45
46,"2014W46",1545,2014.46
47,"2014W47",1546,2014.47
48,"2014W48",1547,2014.48
49,"2014W49",1548,2014.49
50,"2014W50",1549,2014.5
51,"2014W51",1550,2014.51
52,"2014W52",1551,2014.52
53,"2014W53",1552,2014.53
54,"2015W01",1553,2015.01
55,"2015W02",1554,2015.02
56,"2015W03",1555,2015.03
57,"2015W04",1556,2015.04
58,"2015W05",1557,2015.05
59,"2015W06",1558,2015.06
60,"2015W07",1559,2015.07
61,"2015W08",1560,2015.08
62,"2015W09",1561,2015.09
63,"2015W10",1562,2015.1
64,"2015W11",1563,2015.11
65,"2015W12",1564,2015.12
66,"2015W13",1565,2015.13
67,"2015W14",1566,2015.14
68,"2015W15",1567,2015.15
69,"2015W16",1568,2015.16
70,"2015W17",1569,2015.17
71,"2015W18",1570,2015.18
72,"2015W19",1571,2015.19
73,"2015W20",1572,2015.2
74,"2015W21",1573,2015.21
75,"2015W22",1574,2015.22
76,"2015W23",1575,2015.23
77,"2015W24",1576,2015.24
78,"2015W25",1577,2015.25
79,"2015W26",1578,2015.26
80,"2015W27",1579,2015.27
81,"2015W28",1580,2015.28
82,"2015W29",1581,2015.29
83,"2015W30",1582,2015.3
84,"2015W31",1583,2015.31
85,"2015W32",1584,2015.32
86,"2015W33",1585,2015.33
87,"2015W34",1586,2015.34
88,"2015W35",1587,2015.35
89,"2015W36",1588,2015.36
90,"2015W37",1589,2015.37
91,"2015W38",1590,2015.38
92,"2015W39",1591,2015.39
93,"2015W40",1592,2015.4
94,"2015W41",1593,2015.41
95,"2015W42",1594,2015.42
96,"2015W43",1595,2015.43
97,"2015W44",1596,2015.44
98,"2015W45",1597,2015.45
99,"2015W46",1598,2015.46
100,"2015W47",1599,2015.47
101,"2015W48",1600,2015.48
102,"2015W49",1601,2015.49
103,"2015W50",1602,2015.5
104,"2015W51",1603,2015.51
105,"2015W52",1604,2015.52
106,"2016W01",1605,2016.01
107,"2016W02",1606,2016.02
108,"2016W03",1607,2016.03
109,"2016W04",1608,2016.04
110,"2016W05",1609,2016.05
111,"2016W06",1610,2016.06
112,"2016W07",1611,2016.07
113,"2016W08",1612,2016.08
114,"2016W09",1613,2016.09
115,"2016W10",1614,2016.1
116,"2016W11",1615,2016.11
117,"2016W12",1616,2016.12
118,"2016W13",1617,2016.13
119,"2016W14",1618,2016.14
120,"2016W15",1619,2016.15
121,"2016W16",1620,2016.16
122,"2016W17",1621,2016.17
123,"2016W18",1622,2016.18
124,"2016W19",1623,2016.19
125,"2016W20",1624,2016.2
126,"2016W21",1625,2016.21
127,"2016W22",1626,2016.22
128,"2016W23",1627,2016.23
129,"2016W24",1628,2016.24
130,"2016W25",1629,2016.25
131,"2016W26",1630,2016.26
132,"2016W27",1631,2016.27
133,"2016W28",1632,2016.28
134,"2016W29",1633,2016.29
135,"2016W30",1634,2016.3
136,"2016W31",1635,2016.31
137,"2016W32",1636,2016.32
138,"2016W33",1637,2016.33
139,"2016W34",1638,2016.34
140,"2016W35",1639,2016.35
141,"2016W36",1640,2016.36
142,"2016W37",1641,2016.37
143,"2016W38",1642,2016.38
144,"2016W39",1643,2016.39
145,"2016W40",1644,2016.4
146,"2016W41",1645,2016.41
147,"2016W42",1646,2016.42
148,"2016W43",1647,2016.43
149,"2016W44",1648,2016.44
150,"2016W45",1649,2016.45
151,"2016W46",1650,2016.46
152,"2016W47",1651,2016.47
153,"2016W48",1652,2016.48
154,"2016W49",1653,2016.49
155,"2016W50",1654,2016.5
156,"2016W51",1655,2016.51
157,"2016W52",1656,2016.52
158,"2017W01",1657,2017.01
159,"2017W02",1658,2017.02
160,"2017W03",1659,2017.03
161,"2017W04",1660,2017.04
162,"2017W05",1661,2017.05
163,"2017W06",1662,2017.06
164,"2017W07",1663,2017.07
165,"2017W08",1664,2017.08
166,"2017W09",1665,2017.09
167,"2017W10",1666,2017.1
168,"2017W11",1667,2017.11
169,"2017W12",1668,2017.12
170,"2017W13",1669,2017.13
171,"2017W14",1670,2017.14
172,"2017W15",1671,2017.15
173,"2017W16",1672,2017.16
174,"2017W17",1673,2017.17
175,"2017W18",1674,2017.18
176,"2017W19",1675,2017.19
177,"2017W20",1676,2017.2
178,"2017W21",1677,2017.21
179,"2017W22",1678,2017.22
180,"2017W23",1679,2017.23
181,"2017W24",1680,2017.24
182,"2017W25",1681,2017.25
183,"2017W26",1682,2017.26
184,"2017W27",1683,2017.27
185,"2017W28",1684,2017.28
186,"2017W29",1685,2017.29
187,"2017W30",1686,2017.3
188,"2017W31",1687,2017.31
189,"2017W32",1688,2017.32
190,"2017W33",1689,2017.33
191,"2017W34",1690,2017.34
192,"2017W35",1691,2017.35
193,"2017W36",1692,2017.36
194,"2017W37",1693,2017.37
195,"2017W38",1694,2017.38
196,"2017W39",1695,2017.39
197,"2017W40",1696,2017.4
198,"2017W41",1697,2017.41
199,"2017W42",1698,2017.42
200,"2017W43",1699,2017.43
201,"2017W44",1700,2017.44
202,"2017W45",1701,2017.45
203,"2017W46",1702,2017.46
204,"2017W47",1703,2017.47
205,"2017W48",1704,2017.48
206,"2017W49",1705,2017.49
207,"2017W50",1706,2017.5
208,"2017W51",1707,2017.51
209,"2017W52",1708,2017.52
210,"2018W01",1709,2018.01
211,"2018W02",1710,2018.02
212,"2018W03",1711,2018.03
213,"2018W04",1712,2018.04
214,"2018W05",1713,2018.05
215,"2018W06",1714,2018.06
216,"2018W07",1715,2018.07
217,"2018W08",1716,2018.08
218,"2018W09",1717,2018.09
219,"2018W10",1718,2018.1
220,"2018W11",1719,2018.11
221,"2018W12",1720,2018.12
222,"2018W13",1721,2018.13
223,"2018W14",1722,2018.14
224,"2018W15",1723,2018.15
225,"2018W16",1724,2018.16
226,"2018W17",1725,2018.17
227,"2018W18",1726,2018.18
228,"2018W19",1727,2018.19
229,"2018W20",1728,2018.2
230,"2018W21",1729,2018.21
231,"2018W22",1730,2018.22
232,"2018W23",1731,2018.23
233,"2018W24",1732,2018.24
234,"2018W25",1733,2018.25
235,"2018W26",1734,2018.26
236,"2018W27",1735,2018.27
237,"2018W28",1736,2018.28
238,"2018W29",1737,2018.29
239,"2018W30",1738,2018.3
240,"2018W31",1739,2018.31
241,"2018W32",1740,2018.32
242,"2018W33",1741,2018.33
243,"2018W34",1742,2018.34
244,"2018W35",1743,2018.35
245,"2018W36",1744,2018.36
246,"2018W37",1745,2018.37
247,"2018W38",1746,2018.38
248,"2018W39",1747,2018.39
249,"2018W40",1748,2018.4
250,"2018W41",1749,2018.41
251,"2018W42",1750,2018.42
252,"2018W43",1751,2018.43
253,"2018W44",1752,2018.44
254,"2018W45",1753,2018.45
255,"2018W46",1754,2018.46
256,"2018W47",1755,2018.47
257,"2018W48",1756,2018.48
258,"2018W49",1757,2018.49
259,"2018W50",1758,2018.5
260,"2018W51",1759,2018.51
261,"2018W52",1760,2018.52
262,"2019W01",1761,2019.01
263,"2019W02",1762,2019.02
264,"2019W03",1763,2019.03
265,"2019W04",1764,2019.04
266,"2019W05",1765,2019.05
267,"2019W06",1766,2019.06
268,"2019W07",1767,2019.07
269,"2019W08",1768,2019.08
270,"2019W09",1769,2019.09
271,"2019W10",1770,2019.1
272,"2019W11",1771,2019.11
273,"2019W12",1772,2019.12
274,"2019W13",1773,2019.13
275,"2019W14",1774,2019.14
276,"2019W15",1775,2019.15
277,"2019W16",1776,2019.16
278,"2019W17",1777,2019.17
279,"2019W18",1778,2019.18
280,"2019W19",1779,2019.19
281,"2019W20",1780,2019.2
282,"2019W21",1781,2019.21
283,"2019W22",1782,2019.22
284,"2019W23",1783,2019.23
285,"2019W24",1784,2019.24
286,"2019W25",1785,2019.25
287,"2019W26",1786,2019.26
288,"2019W27",1787,2019.27
289,"2019W28",1788,2019.28
290,"2019W29",1789,2019.29
291,"2019W30",1790,2019.3
292,"2019W31",1791,2019.31
293,"2019W32",1792,2019.32
294,"2019W33",1793,2019.33
295,"2019W34",1794,2019.34
296,"2019W35",1795,2019.35
297,"2019W36",1796,2019.36
298,"2019W37",1797,2019.37
299,"2019W38",1798,2019.38
300,"2019W39",1799,2019.39
301,"2019W40",1800,2019.4
302,"2019W41",1801,2019.41
303,"2019W42",1802,2019.42
304,"2019W43",1803,2019.43
305,"2019W44",1804,2019.44
306,"2019W45",1805,2019.45
307,"2019W46",1806,2019.46
308,"2019W47",1807,2019.47
309,"2019W48",1808,2019.48
310,"2019W49",1809,2019.49
311,"2019W50",1810,2019.5
312,"2019W51",1811,2019.51
313,"2019W52",1812,2019.52
314,"2020W01",1813,2020.01
315,"2020W02",1814,2020.02
316,"2020W03",1815,2020.03
317,"2020W04",1816,2020.04
318,"2020W05",1817,2020.05
319,"2020W06",1818,2020.06
320,"2020W07",1819,2020.07
321,"2020W08",1820,2020.08
322,"2020W09",1821,2020.09
323,"2020W10",1822,2020.1
324,"2020W11",1823,2020.11
325,"2020W12",1824,2020.12
326,"2020W13",1825,2020.13
327,"2020W14",1826,2020.14
328,"2020W15",1827,2020.15
329,"2020W16",1828,2020.16
330,"2020W17",1829,2020.17
331,"2020W18",1830,2020.18
332,"2020W19",1831,2020.19
333,"2020W20",1832,2020.2
334,"2020W21",1833,2020.21
335,"2020W22",1834,2020.22
336,"2020W23",1835,2020.23
337,"2020W24",1836,2020.24
338,"2020W25",1837,2020.25
339,"2020W26",1838,2020.26
340,"2020W27",1839,2020.27
341,"2020W28",1840,2020.28
342,"2020W29",1841,2020.29
343,"2020W30",1842,2020.3
344,"2020W31",1843,2020.31
345,"2020W32",1844,2020.32
346,"2020W33",1845,2020.33
347,"2020W34",1846,2020.34
348,"2020W35",1847,2020.35
349,"2020W36",1848,2020.36
350,"2020W37",1849,2020.37
351,"2020W38",1850,2020.38
352,"2020W39",1851,2020.39
353,"2020W40",1852,2020.4
354,"2020W41",1853,2020.41
355,"2020W42",1854,2020.42
356,"2020W43",1855,2020.43
357,"2020W44",1856,2020.44
358,"2020W45",1857,2020.45
359,"2020W46",1858,2020.46
360,"2020W47",1859,2020.47
361,"2020W48",1860,2020.48
362,"2020W49",1861,2020.49
363,"2020W50",1862,2020.5
364,"2020W51",1863,2020.51
365,"2020W52",1864,2020.52
366,"2020W53",1865,2020.53
367,"2021W01",1866,2021.01
368,"2021W02",1867,2021.02
369,"2021W03",1868,2021.03
370,"2021W04",1869,2021.04
371,"2021W05",1870,2021.05
372,"2021W06",1871,2021.06
373,"2021W07",1872,2021.07
374,"2021W08",1873,2021.08
375,"2021W09",1874,2021.09
376,"2021W10",1875,2021.1
377,"2021W11",1876,2021.11
378,"2021W12",1877,2021.12
379,"2021W13",1878,2021.13
380,"2021W14",1879,2021.14
381,"2021W15",1880,2021.15
382,"2021W16",1881,2021.16
383,"2021W17",1882,2021.17
384,"2021W18",1883,2021.18
385,"2021W19",1884,2021.19
386,"2021W20",1885,2021.2
387,"2021W21",1886,2021.21
388,"2021W22",1887,2021.22
389,"2021W23",1888,2021.23
390,"2021W24",1889,2021.24
391,"2021W25",1890,2021.25
392,"2021W26",1891,2021.26
393,"2021W27",1892,2021.27
394,"2021W28",1893,2021.28
395,"2021W29",1894,2021.29
396,"2021W30",1895,2021.3
397,"2021W31",1896,2021.31
398,"2021W32",1897,2021.32
399,"2021W33",1898,2021.33
400,"2021W34",1899,2021.34
401,"2021W35",1900,2021.35
402,"2021W36",1901,2021.36
403,"2021W37",1902,2021.37
